,Tm,W,L,W-L_perc,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year,T
7,Detroit Lions,4,12,.250,372,437,-65,-4.1,1.8,-2.3,2.1,-4.4,2012,0
8,Atlanta Falcons*,13,3,.813,419,299,120,7.5,-1.1,6.4,2.0,4.5,2012,0
9,Carolina Panthers,7,9,.438,357,363,-6,-0.4,1.2,0.8,-0.5,1.3,2012,0
10,New Orleans Saints,7,9,.438,461,454,7,0.4,1.0,1.4,6.5,-5.1,2012,0
11,Tampa Bay Buccaneers,7,9,.438,389,394,-5,-0.3,0.3,0.0,1.3,-1.3,2012,0
12,San Francisco 49ers*,11,4,.719,397,273,124,7.8,2.5,10.2,3.5,6.7,2012,1
13,Seattle Seahawks+,11,5,.688,412,245,167,10.4,1.8,12.2,4.5,7.7,2012,0
14,St. Louis Rams,7,8,.469,299,348,-49,-3.1,3.4,0.4,-2.1,2.4,2012,1
15,Arizona Cardinals,5,11,.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6,2012,0
0,Philadelphia Eagles*,10,6,.625,442,382,60,3.8,-1.9,1.9,2.3,-0.5,2013,0
1,Dallas Cowboys,8,8,.500,439,432,7,0.4,-1.1,-0.7,2.7,-3.4,2013,0
2,New York Giants,7,9,.438,294,383,-89,-5.6,0.2,-5.4,-6.2,0.8,2013,0
3,Washington Redskins,3,13,.188,334,478,-144,-9.0,-0.3,-9.3,-3.9,-5.4,2013,0
4,Green Bay Packers*,8,7,.531,417,428,-11,-0.7,-2.4,-3.1,0.5,-3.6,2013,1
5,Chicago Bears,8,8,.500,445,478,-33,-2.1,-2.1,-4.1,3.0,-7.1,2013,0
6,Detroit Lions,7,9,.438,395,376,19,1.2,-2.8,-1.6,-1.2,-0.5,2013,0
7,Minnesota Vikings,5,10,.344,391,480,-89,-5.6,-1.1,-6.6,0.2,-6.9,2013,1
8,Carolina Panthers*,12,4,.750,366,241,125,7.8,1.4,9.2,0.6,8.6,2013,0
9,New Orleans Saints+,11,5,.688,414,304,110,6.9,1.9,8.8,3.8,5.0,2013,0
10,Atlanta Falcons,4,12,.250,353,443,-90,-5.6,2.9,-2.8,1.2,-3.9,2013,0
11,Tampa Bay Buccaneers,4,12,.250,288,389,-101,-6.3,3.6,-2.7,-2.9,0.3,2013,0
12,Seattle Seahawks*,13,3,.813,417,231,186,11.6,1.4,13.0,4.1,8.9,2013,0
13,San Francisco 49ers+,12,4,.750,406,272,134,8.4,1.8,10.1,3.5,6.6,2013,0
14,Arizona Cardinals,10,6,.625,379,324,55,3.4,3.0,6.4,2.7,3.7,2013,0
15,St. Louis Rams,7,9,.438,348,364,-16,-1.0,3.2,2.2,0.4,1.8,2013,0
0,Dallas Cowboys*,12,4,.750,467,352,115,7.2,-1.8,5.4,5.3,0.1,2014,0
